country,subdivision,type,60kgs_bag,year,nonbearing_trees,bearing_trees,nonbear_hectares,bearing_hectares,bearing_trees_per_hectare,nonbearing_trees_per_hectare
Brazil,Espirito Santo,Robusta,11.8,2013,1000,5860,282,2105,2784,3546
Brazil,Sao Paulo,Arabica,5.4,2013,1000,5860,282,2105,2784,3546
Brazil,Parana,Arabica,1.8,2013,1000,5860,282,2105,2784,3546
Brazil,Minas Gerais,Arabica,29.4,2014,1055,5810,307,2135,2721,3436
Brazil,Espirito Santo,Arabica,3.5,2014,1055,5810,307,2135,2721,3436
Brazil,Espirito Santo,Arabica,3.5,2014,1055,5810,307,2135,2721,3436
Brazil,Espirito Santo,Robusta,12.3,2014,1055,5810,307,2135,2721,3436
Brazil,Espirito Santo,Robusta,12.3,2014,1055,5810,307,2135,2721,3436
Brazil,Sao Paulo,Arabica,4.6,2014,1055,5810,307,2135,2721,3436
Brazil,Sao Paulo,Arabica,4.6,2014,1055,5810,307,2135,2721,3436
Brazil,Parana,Arabica,1.7,2014,1055,5810,307,2135,2721,3436
Brazil,Parana,Arabica,1.7,2014,1055,5810,307,2135,2721,3436
Brazil,Minas Gerais,Arabica,26,2015,1185,5770,347,2090,2761,3415
Brazil,Espirito Santo,Arabica,3.3,2015,1185,5770,347,2090,2761,3415
Brazil,Espirito Santo,Robusta,13.1,2015,1185,5770,347,2090,2761,3415
Brazil,Sao Paulo,Arabica,4.6,2015,1185,5770,347,2090,2761,3415
Brazil,Parana,Arabica,1,2015,1185,5770,347,2090,2761,3415
Brazil,Minas Gerais,Arabica,25.3,2016,1125,5735,340,2070,2771,3309
Brazil,Espirito Santo,Arabica,3.1,2016,1125,5735,340,2070,2771,3309
Brazil,Espirito Santo,Robusta,9.9,2016,1125,5735,340,2070,2771,3309
Brazil,Sao Paulo,Arabica,4.3,2016,1125,5735,340,2070,2771,3309
Brazil,Parana,Arabica,1.2,2016,1125,5735,340,2070,2771,3309
Brazil,Minas Gerais,Arabica,32.5,2017,1300,5640,380,2020,2792,3421
Brazil,Espirito Santo,Arabica,3.8,2017,1300,5640,380,2020,2792,3421
Brazil,Espirito Santo,Robusta,6.7,2017,1300,5640,380,2020,2792,3421
Brazil,Sao Paulo,Arabica,5.9,2017,1300,5640,380,2020,2792,3421
Brazil,Parana,Arabica,1.1,2017,1300,5640,380,2020,2792,3421
Brazil,Minas Gerais,Arabica,28.3,2018,,,,,,
Brazil,Espirito Santo,Arabica,3.3,2018,,,,,,
Brazil,Espirito Santo,Robusta,7.3,2018,,,,,,
Brazil,Sao Paulo,Arabica,4.3,2018,,,,,,
Brazil,Parana,Arabica,1.3,2018,,,,,,
Brazil,Minas Gerais,Arabica,34.2,2019,1150,5740,335,2060,2786,3433
Brazil,Espirito Santo,Arabica,4.7,2019,1150,5740,335,2060,2786,3433
Brazil,Espirito Santo,Robusta,10.9,2019,1150,5740,335,2060,2786,3433
Brazil,Sao Paulo,Arabica,6.5,2019,1150,5740,335,2060,2786,3433
Brazil,Parana,Arabica,1.2,2019,1150,5740,335,2060,2786,3433
Brazil,Minas Gerais,Arabica,29.1,2020,1230,5700,350,2040,2794,3514
Brazil,Espirito Santo,Arabica,3.9,2020,1230,5700,350,2040,2794,3514
Brazil,Espirito Santo,Robusta,12.9,2020,1230,5700,350,2040,2794,3514
Brazil,Sao Paulo,Arabica,5.4,2020,1230,5700,350,2040,2794,3514
Brazil,Parana,Arabica,1.1,2020,1230,5700,350,2040,2794,3514
Brazil,Minas Gerais,Arabica,34.8,2021,1050,6200,320,2100,2952,3281
Brazil,Espirito Santo,Arabica,4.8,2021,1050,6200,320,2100,2952,3281
Brazil,Espirito Santo,Robusta,14.3,2021,1050,6200,320,2100,2952,3281
Brazil,Sao Paulo,Arabica,6.4,2021,1050,6200,320,2100,2952,3281
Brazil,Parana,Arabica,1.1,2021,1050,6200,320,2100,2952,3281
Brazil,Minas Gerais,Arabica,24.5,2022,1500,6010,470,2010,2990,3191
Brazil,Espirito Santo,Arabica,3.7,2022,1500,6010,470,2010,2990,3191
Brazil,Espirito Santo,Robusta,15.7,2022,1500,6010,470,2010,2990,3191
Brazil,Sao Paulo,Arabica,4.6,2022,1500,6010,470,2010,2990,3191
Brazil,Parana,Arabica,1,2022,1500,6010,470,2010,2990,3191
Brazil,Minas Gerais,Arabica,28.5,2023,1510,6100,475,2020,3020,3179
Brazil,Espirito Santo,Arabica,4.4,2023,1510,6100,475,2020,3020,3179
Brazil,Espirito Santo,Robusta,16.6,2023,1510,6100,475,2020,3020,3179
Brazil,Sao Paulo,Arabica,5.1,2023,1510,6100,475,2020,3020,3179
Brazil,Parana,Arabica,0.8,2023,1510,6100,475,2020,3020,3179
